cluster,model,percent_trn_data,rmse,bias,n_obs_test
0,GMAML,1,1.5900661296203382,-0.09914921289685055,35130
0,GMAML,100,1.4962240307996721,-0.2522415304046721,35130
0,HGN,1,1.4917691387449774,0.08597505984175274,35130
0,HGN,100,1.5106588640371457,-0.17777005631401888,35130
0,MTHGN,1,1.4674610025578674,-0.03444858934056823,35130
0,MTHGN,100,1.176474647693444,-0.1248245694908844,35130
1,GMAML,1,2.1496556568202814,-0.4295209547200351,9172
1,GMAML,100,1.7327309786485248,-0.3066555743510908,9172
1,HGN,1,2.0470150134967384,-0.3250687825122282,9172
1,HGN,100,1.8793176608925324,-0.33486281586718397,9172
1,MTHGN,1,1.8337170193649108,-0.2693236169494634,9172
1,MTHGN,100,1.6432327558201574,-0.4212304037389644,9172
2,GMAML,1,1.9321993542758178,-0.4264034654759943,27897
2,GMAML,100,1.7217039644471683,-0.22519668317463845,27897
2,HGN,1,2.071814852058845,-0.402151426201382,27897
2,HGN,100,1.865424743185818,-0.30914078417673857,27897
2,MTHGN,1,1.9038548269771558,-0.39998251218363445,27897
2,MTHGN,100,1.6760336098160622,-0.00219759304405216,27897
3,GMAML,1,1.8365573431493898,0.45415116313953224,14660
3,GMAML,100,1.5318010519733283,0.3825399304204285,14660
3,HGN,1,1.868285806485218,0.4096314897636178,14660
3,HGN,100,1.563476141747494,0.31869248012420676,14660
3,MTHGN,1,1.9325763661507476,0.4565305726422198,14660
3,MTHGN,100,1.5350184120902475,0.20426726725007807,14660
4,GMAML,1,1.94120821714972,0.15508914714786237,49580
4,GMAML,100,1.729632887210699,-0.04447281699174101,49580
4,HGN,1,2.2859241513419586,0.43018169670129064,49580
4,HGN,100,1.8149191720748241,-0.13595698066292583,49580
4,MTHGN,1,1.9101011718583334,-0.03501394856141489,49580
4,MTHGN,100,1.6679521197506968,0.03558817660845145,49580
